Property ID,Locality name,Postal code,price,Type of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,Cadastral income,region
20227478,Vilvoorde,1800,485000,house,,4.0,1168.0,145.0,,,,,,,4.0,,Good,D,399.0,Fuel oil,Non flood zone,1.0,431.0,Flanders
20227475,Flémalle,4400,240000,apartment,2014.0,2.0,,110.0,1.0,,,,,,,,,B,124.0,,,1.0,980.0,Wallonia
20227469,Houdeng-Aimeries,7110,99000,house,,2.0,630.0,71.0,1.0,0.0,,,420.0,,3.0,0.0,To renovate,G,696.0,,,1.0,243.0,Wallonia
20227468,Courcelles,6180,310000,house,,5.0,,309.0,1.0,0.0,,,,,2.0,0.0,Good,C,193.0,,,1.0,,Wallonia
20227462,Courcelles,6180,199000,house,,2.0,,165.0,1.0,0.0,,,,,2.0,0.0,Good,E,423.0,,,1.0,,Wallonia
20227461,Willebroek,2830,325000,house,,4.0,329.0,166.0,,0.0,,,,,3.0,,,F,634.0,Gas,Non flood zone,1.0,1.0,Flanders
20020716,Grivegnée,4030,209000,house,1920.0,2.0,,120.0,1.0,,,9.0,60.0,South West,2.0,0.0,As new,C,251.0,Gas,,1.0,297.0,Wallonia
20061234,Seraing,4100,209900,house,,3.0,285.0,126.0,1.0,,,15.0,133.0,,2.0,0.0,Good,D,318.0,Gas,Non flood zone,1.0,,Wallonia
20107292,Sint-Pieters-Leeuw,1600,219000,apartment,2018.0,1.0,,65.0,1.0,,,7.0,,,2.0,,Good,A,69.0,Gas,Non flood zone,1.0,,Flanders
20144177,Sint-Katelijne-Waver,2860,219000,house,,3.0,95.0,97.0,1.0,,1.0,,,,,,To be done up,D,308.0,Gas,Non flood zone,,394.0,Flanders
20120478,Bressoux,4020,219000,apartment,1966.0,2.0,,96.0,1.0,,,,,,2.0,0.0,Good,C,224.0,Gas,Non flood zone,1.0,912.0,Wallonia
20093551,Libramont-Chevigny,6800,219000,apartment,2009.0,2.0,,80.0,1.0,0.0,,13.0,,,,0.0,Good,B,144.0,Gas,Non flood zone,1.0,1007.0,Wallonia
